Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","590253","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","21442","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1965","1965","tonnes","1265608","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","580838","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","21290","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1966","1966","tonnes","1236617","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","604166","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","20155","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1967","1967","tonnes","1217718","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","669178","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1968","1968","hg/ha","21642","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1968","1968","tonnes","1448255","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1969","1969","ha","693311","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1969","1969","hg/ha","23181","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1969","1969","tonnes","1607152","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1970","1970","ha","712396","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1970","1970","hg/ha","23830","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1970","1970","tonnes","1697623","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1971","1971","ha","740922","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1971","1971","hg/ha","24686","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1971","1971","tonnes","1829005","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1972","1972","ha","773059","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1972","1972","hg/ha","23961","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1972","1972","tonnes","1852324","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1973","1973","ha","758106","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1973","1973","hg/ha","26322","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1973","1973","tonnes","1995463","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1974","1974","ha","749400","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1974","1974","hg/ha","28266","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1974","1974","tonnes","2118257","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1975","1975","ha","761513","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1975","1975","hg/ha","26412","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1975","1975","tonnes","2011318","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1976","1976","ha","749156","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1976","1976","hg/ha","26970","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1976","1976","tonnes","2020500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1977","1977","ha","733625","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1977","1977","hg/ha","26117","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1977","1977","tonnes","1916000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1978","1978","ha","593800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1978","1978","hg/ha","25428","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1978","1978","tonnes","1509900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1979","1979","ha","745000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1979","1979","hg/ha","28228","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1979","1979","tonnes","2103000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1980","1980","ha","723800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1980","1980","hg/ha","28359","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1980","1980","tonnes","2052604","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1981","1981","ha","718000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1981","1981","hg/ha","28244","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1981","1981","tonnes","2027900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1982","1982","ha","690000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1982","1982","hg/ha","27429","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1982","1982","tonnes","1892604","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1983","1983","ha","680000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1983","1983","hg/ha","25799","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1983","1983","tonnes","1754325","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1984","1984","ha","638000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1984","1984","hg/ha","24979","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1984","1984","tonnes","1593674","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1985","1985","ha","669974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1985","1985","hg/ha","26424","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1985","1985","tonnes","1770367","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1986","1986","ha","665875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1986","1986","hg/ha","26194","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1986","1986","tonnes","1744215","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1987","1987","ha","675954","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1987","1987","hg/ha","24509","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1987","1987","tonnes","1656699","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1988","1988","ha","689755","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1988","1988","hg/ha","25056","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1988","1988","tonnes","1728239","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1989","1989","ha","683137","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1989","1989","hg/ha","26019","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1989","1989","tonnes","1777444","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1990","1990","ha","700647","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1990","1990","hg/ha","27403","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1990","1990","tonnes","1919984","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1991","1991","ha","703640","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1991","1991","hg/ha","27874","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1991","1991","tonnes","1961354","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1992","1992","ha","693753","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1992","1992","hg/ha","29531","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1992","1992","tonnes","2048732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1993","1993","ha","713434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1993","1993","hg/ha","30030","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1993","1993","tonnes","2142447","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1994","1994","ha","718624","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1994","1994","hg/ha","30319","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1994","1994","tonnes","2178788","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1995","1995","ha","695787","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1995","1995","hg/ha","31192","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1995","1995","tonnes","2170271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1996","1996","ha","710468","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1996","1996","hg/ha","32000","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1996","1996","tonnes","2273489","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1997","1997","ha","716975","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1997","1997","hg/ha","30233","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1997","1997","tonnes","2167615","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1998","1998","ha","701404","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1998","1998","hg/ha","28432","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1998","1998","tonnes","1994240","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","1999","1999","ha","719389","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","1999","1999","hg/ha","29103","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","1999","1999","tonnes","2093641","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2000","2000","ha","725700","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2000","2000","hg/ha","30395","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2000","2000","tonnes","2205800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2001","2001","ha","695600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2001","2001","hg/ha","31081","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2001","2001","tonnes","2161995","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2002","2002","ha","701500","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2002","2002","hg/ha","32321","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2002","2002","tonnes","2267351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2003","2003","ha","695800","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2003","2003","hg/ha","33472","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2003","2003","tonnes","2329000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2004","2004","ha","704700","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2004","2004","hg/ha","33149","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2004","2004","tonnes","2336000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2005","2005","ha","701200","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2005","2005","hg/ha","34070","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2005","2005","tonnes","2389000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2006","2006","ha","670000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2006","2006","hg/ha","33836","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2006","2006","tonnes","2267000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2007","2007","ha","679848","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2007","2007","hg/ha","35406","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2007","2007","tonnes","2407075","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2008","2008","ha","662917","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2008","2008","hg/ha","35992","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2008","2008","tonnes","2385959","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2009","2009","ha","682104","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2009","2009","hg/ha","37347","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2009","2009","tonnes","2547439","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2010","2010","ha","686484","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2010","2010","hg/ha","36599","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2010","2010","tonnes","2512432","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2011","2011","ha","697275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2011","2011","hg/ha","37802","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2011","2011","tonnes","2635830","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2012","2012","ha","693867","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2012","2012","hg/ha","38667","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2012","2012","tonnes","2682983","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2013","2013","ha","681399","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2013","2013","hg/ha","39480","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2013","2013","tonnes","2690153","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2014","2014","ha","624286","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2014","2014","hg/ha","30339","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2014","2014","tonnes","1894019","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2015","2015","ha","691589","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2015","2015","hg/ha","40542","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2015","2015","tonnes","2803864","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2016","2016","ha","698812","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2016","2016","hg/ha","40132","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2016","2016","tonnes","2804473","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2017","2017","ha","696025","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2017","2017","hg/ha","37974","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2017","2017","tonnes","2643074","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2018","2018","ha","709528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2018","2018","hg/ha","38168","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2018","2018","tonnes","2708109","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2019","2019","ha","679392","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2019","2019","hg/ha","35522","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2019","2019","tonnes","2413368","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5312","Area harvested","1717","Cereals, Total","2020","2020","ha","654772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","131","Malaysia","5419","Yield","1717","Cereals, Total","2020","2020","hg/ha","36499","Fc","Calculated data"
"QCL","Crops and livestock products","131","Malaysia","5510","Production","1717","Cereals, Total","2020","2020","tonnes","2389843","A","Aggregate, may include official, semi-official, estimated or calculated data"
